"통계분류(1)",통계분류(2),2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),1명,2~3명,4~5명,6~10명,11~20명,21명이상,1명,2~3명,4~5명,6~10명,11~20명,21명이상,1명,2~3명,4~5명,6~10명,11~20명,21명이상,1명,2~3명,4~5명,6~10명,11~20명,21명이상
"전체",소계,4.1,53.3,31.7,6.7,1.9,2.3,4.8,57.1,33.2,4.4,0.4,0.1,4.2,63,31,1.7,0.1,0,3.9,57.4,33.7,3.9,0.4,0.7
"성별",남자,5.2,54.3,30.1,6.3,1.7,2.3,6.4,57.8,30.7,4.7,0.4,0.1,5.7,63.4,29,1.8,0.1,0,5.2,57.6,32.2,4.1,0.4,0.4
"성별",여자,3,52.3,33.2,7.1,2,2.3,3.2,56.4,35.7,4.2,0.4,0.1,2.8,62.7,32.8,1.6,0,0,2.7,57.2,35.1,3.8,0.4,0.9
"연령",15~19세,3.8,43.3,43.1,5.4,0.7,3.6,1.7,40.8,52.6,4.5,0.3,-,2.5,47.4,46.6,3.5,-,-,1.7,44.1,46.7,5.7,0.3,1.5
"연령",20대,4.6,63.6,27.2,3.5,0.6,0.4,4.5,61.5,30.7,3.2,0.1,-,3.8,70,24.9,1.2,0.1,-,4.1,66.4,27.3,2,0.1,0
"연령",30대,3.9,64.5,25.8,4.8,0.6,0.4,6,70.1,21.3,2.4,0.2,-,5,74,20.2,0.8,-,-,4.9,71.1,21.1,2.7,0.1,0.1
"연령",40대,3.6,46.8,41.2,6.1,1.3,1,3.9,47,43,5.6,0.4,0,3.4,51.9,42.6,2,0,-,3,47.9,45.3,3.1,0.3,0.3
"연령",50대,3.9,48.5,33.4,8.7,2.6,2.9,5.1,53.1,36,4.9,0.7,0.3,3.9,60.7,33.4,1.8,0.1,0,3.6,53,37.3,4.9,0.5,0.6
"연령",60대,4.6,49,26.2,10.7,4.4,5.2,4.5,56.7,30.4,7.3,0.7,0.4,4.7,61.9,30.3,2.7,0.2,0.2,4.1,53.8,32.5,6.7,1.3,1.6
"연령",70세 이상,4.4,44.2,29.1,10,4.3,8.1,5.7,51,36.8,5.2,0.9,0.5,6.8,56.9,33.7,2.4,0.1,0.1,4.9,46.5,37.8,6.4,1.1,3.3
